시설물명,p_wide,p_barrier_yes,parked_density,sidewalk_ratio,road_width_relative,도로안전표지,도로적색표면,무단횡단방지펜스,무인교통단속카메라,보호구역표지판,생활안전CCTV,신호등,옐로카펫,횡단보도,어린이 비율(%),발생건수,accident_label,risk_probability,safety_score
갈보리어린이집,0.78629625,0.8904278,0.0,0.0,0.36064744,0,10,4,1,5,9,0,0,0,12.535826212734042,0,0,0.0049516415974482355,99.50483584025518
건영장안유치원,0.1842424,0.12299645,2.0,0.0,0.38415602,6,18,30,1,30,15,9,0,6,10.74766355140187,0,0,0.03336818724440803,96.6631812755592
검단초등학교,0.09956941,0.036631048,3.0,0.0,0.41032642,4,15,8,1,11,20,5,1,4,8.504758980657048,0,0,0.004803000941518916,99.51969990584811
구미동어린이집,0.9345906,0.9225535,0.0,0.2335119760615656,0.38874602,3,2,7,1,9,12,4,2,3,9.478103017926026,0,0,0.010097496298530038,98.990250370147
구미초등학교,0.9276426,0.9202343,0.0,0.240462831130912,0.38085842,6,17,27,1,30,5,17,1,6,9.478103017926026,0,0,0.014457830725108945,98.55421692748911
금광2동제2어린이집,0.012554854,0.027832538,0.0,0.0,0.29947758,2,16,14,0,19,33,4,1,2,10.261116015425358,0,0,0.032458631544300835,96.75413684556992
금빛초등학교,0.2656963,0.08267254,0.0,0.0570728166818501,0.38173008,5,17,22,2,22,64,3,1,5,4.915291795088737,3,1,0.5092050088031936,49.079499119680634
금상초등학교,0.7747913,0.7655672,0.0,0.211269762177006,0.3978011,5,10,8,8,15,41,12,2,3,10.261116015425358,0,0,0.1818563584687614,81.81436415312386
꾸러기유치원,0.29507905,0.14788705,4.0,0.0,0.35039324,3,4,19,1,10,9,4,0,3,12.535826212734042,0,0,0.014081248363977178,98.59187516360228
낙생초등학교,0.9003775,0.9568949,0.0,0.2949231617538492,0.36399183,7,14,23,2,15,19,13,1,7,17.447373411720083,0,0,0.004140813739523384,99.58591862604766
내정초등학교,0.9762284,0.9357177,0.0,0.0,0.46970743,1,2,4,4,6,13,10,1,1,14.841620226291283,0,0,0.01031214126152915,98.96878587384708
늘사랑어린이집,0.33084035,0.20472655,2.0,0.0,0.0,4,3,11,1,9,9,4,0,4,9.797809460541332,0,0,0.05959180120490712,94.04081987950929
늘푸른초등학교,0.91146886,0.8554052,0.0,0.223351957663398,0.4587278,5,9,16,1,10,6,4,2,5,10.59118249896178,0,0,0.0011600601637545653,99.88399398362453
다솜어린이집,0.8122128,0.21102506,0.0,0.0,0.39601216,2,0,0,0,3,13,2,0,2,6.4828798154809295,0,0,0.018269847124727505,98.17301528752725
다솜유치원,0.3050911,0.1097514,2.0,0.0,0.4214756,3,15,11,1,19,35,4,1,3,10.261116015425358,0,0,0.09048719168656394,90.95128083134361
단남초등학교,0.9644876,0.9015237,0.0,0.2257974644842032,0.37652028,5,17,30,10,21,38,15,1,6,10.261116015425358,0,0,0.19843470137645314,80.15652986235469
